country,iso_code,first_year,last_year,n_years,is_micro_state,fuel_structure_unreliable,cohort_reason
United Arab Emirates,ARE,1992,2021,30,False,False,main_cohort
United Kingdom,GBR,1992,2021,30,False,False,main_cohort
United States,USA,1992,2021,30,False,False,main_cohort
Uruguay,URY,1992,2021,30,False,False,main_cohort
Uzbekistan,UZB,1992,2021,30,False,False,main_cohort
Vanuatu,VUT,1992,2021,30,False,False,main_cohort
Venezuela,VEN,1992,2021,30,False,False,main_cohort
Vietnam,VNM,1992,2021,30,False,False,main_cohort
Wallis and Futuna,WLF,1992,2021,30,True,False,micro_state
Yemen,YEM,1992,2021,30,False,False,main_cohort
Zambia,ZMB,1992,2021,30,False,False,main_cohort
Zimbabwe,ZWE,1992,2021,30,False,False,main_cohort
