repeat,sample_size,adjusted_rand_index
1,154,0.9564283409735719
2,154,1.0
3,154,1.0
4,154,0.9612366371524179
5,154,1.0
6,154,0.9582423087420234
7,154,0.9305520037398584
8,154,1.0
9,154,1.0
10,154,0.9624816297169126
11,154,0.9624816297169126
12,154,1.0
13,154,0.8454972703337448
14,154,0.9624816297169126
15,154,0.7970869897680516
16,154,1.0
17,154,0.9654752190311369
18,154,1.0
19,154,1.0
20,154,0.9598330725091289
21,154,0.9635910994526766
22,154,1.0
23,154,1.0
24,154,1.0
25,154,0.9242694826202863
26,154,1.0
27,154,0.9598330725091289
28,154,0.9635910994526766
29,154,1.0
30,154,1.0
31,154,1.0
32,154,1.0
33,154,1.0
34,154,1.0
35,154,0.9645838155798532
36,154,0.8454972703337448
37,154,0.9242694826202863
38,154,0.833029751062538
39,154,0.9635910994526766
40,154,1.0
41,154,1.0
42,154,1.0
43,154,1.0
44,154,0.9242694826202863
45,154,1.0
46,154,0.9612366371524179
47,154,1.0
48,154,0.9635910994526766
49,154,0.918681563003724
50,154,0.9266019036404671
51,154,0.7782255206568117
52,154,1.0
53,154,0.9598330725091289
54,154,0.8764491483099025
55,154,0.8811501900969214
56,154,0.9635910994526766
57,154,1.0
58,154,1.0
59,154,0.9624816297169126
60,154,1.0
61,154,1.0
62,154,0.9624816297169126
63,154,0.8811501900969214
64,154,0.9598330725091289
65,154,0.8396619304262616
66,154,1.0
67,154,1.0
68,154,1.0
69,154,1.0
70,154,0.9598330725091289
71,154,0.9654752190311369
72,154,1.0
73,154,1.0
74,154,0.9654752190311369
75,154,1.0
76,154,1.0
77,154,0.9305520037398584
78,154,0.9654752190311369
79,154,0.9598330725091289
80,154,1.0
81,154,0.9266019036404671
82,154,0.9624816297169126
83,154,1.0
84,154,1.0
85,154,1.0
86,154,0.9598330725091289
87,154,0.9635910994526766
88,154,0.9635910994526766
89,154,0.9624816297169126
90,154,1.0
91,154,0.9645838155798532
92,154,0.9635910994526766
93,154,1.0
94,154,1.0
95,154,1.0
96,154,0.9582423087420234
97,154,1.0
98,154,0.8506607132082302
99,154,1.0
100,154,1.0
